Worker ID,Name,Gender,Salary ($),Level
1,Employee_1,Male,13349,A1
2,Employee_2,Male,27530,B2
3,Employee_3,Male,27710,B2
4,Employee_4,Male,14459,A1
5,Employee_5,Male,5986,B2
6,Employee_6,Male,27310,B2
7,Employee_7,Male,26671,B2
8,Employee_8,Male,24719,B2
9,Employee_9,Male,25821,B2
10,Employee_10,Male,22586,B2
11,Employee_11,Female,13066,A1
12,Employee_12,Female,9988,A5-F
13,Employee_13,Female,12813,A1
14,Employee_14,Male,26633,B2
15,Employee_15,Female,30574,B2
16,Employee_16,Male,17708,A1
17,Employee_17,Male,20456,B2
18,Employee_18,Female,27139,A5-F
19,Employee_19,Male,26979,B2
20,Employee_20,Female,22415,A5-F
21,Employee_21,Male,10429,A1
22,Employee_22,Female,27522,A5-F
23,Employee_23,Male,25088,B2
24,Employee_24,Female,31002,B2
25,Employee_25,Male,30706,B2
26,Employee_26,Female,16869,A1
27,Employee_27,Female,7255,B2
28,Employee_28,Male,29963,B2
29,Employee_29,Male,19472,A1
30,Employee_30,Male,12446,A1
31,Employee_31,Female,10164,A1
32,Employee_32,Male,33842,B2
33,Employee_33,Female,28526,A5-F
34,Employee_34,Female,17329,A1
35,Employee_35,Male,27906,B2
36,Employee_36,Male,20061,B2
37,Employee_37,Female,15438,A1
38,Employee_38,Female,30044,B2
39,Employee_39,Female,34200,B2
40,Employee_40,Male,15333,A1
41,Employee_41,Male,23960,B2
42,Employee_42,Female,20354,A5-F
43,Employee_43,Male,27912,B2
44,Employee_44,Female,5246,B2
45,Employee_45,Male,12100,A1
46,Employee_46,Male,8371,B2
47,Employee_47,Female,8389,A5-F
48,Employee_48,Female,26859,A5-F
49,Employee_49,Female,11263,A1
50,Employee_50,Female,7933,A5-F
51,Employee_51,Female,31644,B2
52,Employee_52,Female,14919,A1
53,Employee_53,Male,25288,B2
54,Employee_54,Male,31200,B2
55,Employee_55,Male,27826,B2
56,Employee_56,Male,13984,A1
57,Employee_57,Female,23832,A5-F
58,Employee_58,Male,33856,B2
59,Employee_59,Female,21099,A5-F
60,Employee_60,Male,16095,A1
61,Employee_61,Female,7973,A5-F
62,Employee_62,Female,11206,A1
63,Employee_63,Male,20224,B2
64,Employee_64,Female,27704,A5-F
65,Employee_65,Female,17428,A1
66,Employee_66,Male,21237,B2
67,Employee_67,Male,8513,B2
68,Employee_68,Female,9957,A5-F
69,Employee_69,Female,32129,B2
70,Employee_70,Male,20594,B2
71,Employee_71,Female,21908,A5-F
72,Employee_72,Male,29960,B2
73,Employee_73,Female,27609,A5-F
74,Employee_74,Female,21032,A5-F
75,Employee_75,Female,25596,A5-F
76,Employee_76,Female,32594,B2
77,Employee_77,Male,10332,A1
78,Employee_78,Male,5939,B2
79,Employee_79,Male,14468,A1
80,Employee_80,Male,28823,B2
81,Employee_81,Male,27485,B2
82,Employee_82,Male,10047,A1
83,Employee_83,Female,29096,A5-F
84,Employee_84,Male,32675,B2
85,Employee_85,Male,29646,B2
86,Employee_86,Male,12788,A1
87,Employee_87,Male,30172,B2
88,Employee_88,Female,34208,B2
89,Employee_89,Female,15375,A1
90,Employee_90,Female,32799,B2
91,Employee_91,Female,30679,B2
92,Employee_92,Female,16081,A1
93,Employee_93,Male,19301,A1
94,Employee_94,Male,15605,A1
95,Employee_95,Female,19864,A1
96,Employee_96,Female,33151,B2
97,Employee_97,Male,14106,A1
98,Employee_98,Male,11740,A1
99,Employee_99,Male,26600,B2
100,Employee_100,Male,12028,A1
101,Employee_101,Female,7261,B2
102,Employee_102,Female,7583,A5-F
103,Employee_103,Male,29931,B2
104,Employee_104,Male,26701,B2
105,Employee_105,Male,28605,B2
106,Employee_106,Female,16185,A1
107,Employee_107,Female,20794,A5-F
108,Employee_108,Male,7874,B2
109,Employee_109,Female,10687,A1
110,Employee_110,Female,11400,A1
111,Employee_111,Male,8498,B2
112,Employee_112,Female,15320,A1
113,Employee_113,Female,33824,B2
114,Employee_114,Male,15599,A1
115,Employee_115,Female,24111,A5-F
116,Employee_116,Male,28185,B2
117,Employee_117,Male,19064,A1
118,Employee_118,Female,8031,A5-F
119,Employee_119,Male,29896,B2
120,Employee_120,Female,28594,A5-F
121,Employee_121,Female,30219,B2
122,Employee_122,Male,25556,B2
123,Employee_123,Male,32275,B2
124,Employee_124,Female,24206,A5-F
125,Employee_125,Male,24543,B2
126,Employee_126,Male,26446,B2
127,Employee_127,Female,6631,B2
128,Employee_128,Male,19676,A1
129,Employee_129,Female,29884,A5-F
130,Employee_130,Male,28294,B2
131,Employee_131,Male,10293,A1
132,Employee_132,Male,5831,B2
133,Employee_133,Male,30957,B2
134,Employee_134,Male,24894,B2
135,Employee_135,Male,15616,A1
136,Employee_136,Male,19419,A1
137,Employee_137,Female,14754,A1
138,Employee_138,Male,30929,B2
139,Employee_139,Female,7836,A5-F
140,Employee_140,Male,5094,B2
141,Employee_141,Female,30139,B2
142,Employee_142,Male,26770,B2
143,Employee_143,Male,18437,A1
144,Employee_144,Male,12602,A1
145,Employee_145,Male,18094,A1
146,Employee_146,Female,27511,A5-F
147,Employee_147,Female,6109,B2
148,Employee_148,Female,30715,B2
149,Employee_149,Female,34538,B2
150,Employee_150,Male,22431,B2
151,Employee_151,Female,33895,B2
152,Employee_152,Male,11134,A1
153,Employee_153,Female,32085,B2
154,Employee_154,Male,16437,A1
155,Employee_155,Female,34916,B2
156,Employee_156,Female,12281,A1
157,Employee_157,Male,17474,A1
158,Employee_158,Male,28026,B2
159,Employee_159,Male,23087,B2
160,Employee_160,Male,28207,B2
161,Employee_161,Male,16670,A1
162,Employee_162,Male,13441,A1
163,Employee_163,Male,19904,A1
164,Employee_164,Male,7950,B2
165,Employee_165,Female,8732,A5-F
166,Employee_166,Male,5136,B2
167,Employee_167,Male,12174,A1
168,Employee_168,Male,10053,A1
169,Employee_169,Female,5203,B2
170,Employee_170,Female,30568,B2
171,Employee_171,Male,8546,B2
172,Employee_172,Male,23661,B2
173,Employee_173,Female,25436,A5-F
174,Employee_174,Female,17345,A1
175,Employee_175,Male,23758,B2
176,Employee_176,Male,8476,B2
177,Employee_177,Male,21810,B2
178,Employee_178,Female,11329,A1
179,Employee_179,Male,12728,A1
180,Employee_180,Female,16592,A1
181,Employee_181,Male,31050,B2
182,Employee_182,Female,10118,A1
183,Employee_183,Female,18944,A1
184,Employee_184,Male,33355,B2
185,Employee_185,Female,23652,A5-F
186,Employee_186,Female,22341,A5-F
187,Employee_187,Female,15554,A1
188,Employee_188,Female,27040,A5-F
189,Employee_189,Male,34394,B2
190,Employee_190,Female,11527,A1
191,Employee_191,Female,10651,A1
192,Employee_192,Male,11019,A1
193,Employee_193,Male,31308,B2
194,Employee_194,Male,9618,B2
195,Employee_195,Female,25607,A5-F
196,Employee_196,Male,33114,B2
197,Employee_197,Male,25634,B2
198,Employee_198,Male,31469,B2
199,Employee_199,Male,5694,B2
200,Employee_200,Male,9283,B2
201,Employee_201,Female,33426,B2
202,Employee_202,Female,34822,B2
203,Employee_203,Female,5159,B2
204,Employee_204,Female,13539,A1
205,Employee_205,Female,11419,A1
206,Employee_206,Female,22696,A5-F
207,Employee_207,Female,6045,B2
208,Employee_208,Female,14275,A1
209,Employee_209,Female,14678,A1
210,Employee_210,Female,33929,B2
211,Employee_211,Male,21592,B2
212,Employee_212,Male,25728,B2
213,Employee_213,Male,29284,B2
214,Employee_214,Female,23739,A5-F
215,Employee_215,Male,19100,A1
216,Employee_216,Female,13547,A1
217,Employee_217,Male,22311,B2
218,Employee_218,Female,26609,A5-F
219,Employee_219,Female,22453,A5-F
220,Employee_220,Female,18539,A1
